,Unnamed: 0,Double record?,qid,Sarwiki,P418,P34,Unnamed: 5,Unnamed: 6,Senwiki,P671,P34.1,Wikidata_qid,Wikidata2,Len,Den,P2,P2.1,P131,P131.1,lat_lon_P48,P670,qal18,wik_en_x,sv.wiki,wik_tr_x,Description,anc_name_x,lat_wgs1984_x,lon_wgs1984_x,accuracy_x,qid.1,"cdli_legacy_""Len""",cdli_provenience_id_P694,transciption_name,language,tr_name,ara_name_x,arm_name_x,fas_name_x,geo_name_x,gre_name_x,heb_name_x,rus_name_x,pleiades_id_P671,osm_id,osm_type,site_id_x,geonames_id,Unnamed: 47,wik_ara_x,wik_fas_x,wik_gre_x,wik_heb_x,wik_en.1,lan,qid.2,"qid,Len,Lfr,Lde,Den,P2,P2,P131,P131,P48,P670,qal18",place,link,placeLabel,site_id_y,cdli_provenience_id,accuracy_y,anc_name_y,transc_name,ara_name_y,arm_name_y,fas_name_y,geo_name_y,gre_name_y,heb_name_y,rus_name_y,legacy_name,pleiades_url,osm_url,geonames_url,wik_en_y,wik_ara_y,wik_fas_y,wik_gre_y,wik_heb_y,wik_tr_y,rla_url,wikidata_url,lon_wgs1984_y,lat_wgs1984_y,geometry,_merge
10,73.0,,Q389920,,,,,,P671,874688.0,ar:تل عجاجة,,,Tall ‘Ajājah,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@36.2082/40.7205,Tall ‘Ajājah,Q389598,,,,ancient location and modern archeologoical excavation site,Shaddikanni,36.2082,40.7205,3.0,Q389920,"""Šaddikanni (mod. Tell Ajaja)""","""""""""118""""""""",Tall ‘Ajājah,Arabic,,تل عجاجة,,,,,,,874688.0,3377375046.0,node,AJJ,,,,,,,,,,",""Tall ‘Ajājah"",""Tall ‘Ajājah"",""Tall ‘Ajājah"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@36.2082/40.7205,""""""Tall ‘Ajājah"""""",Q389598",,,,AJJ,118,3,Shaddikanni,Tall ‘Ajājah,تل عجاجة,,,,,,,Šaddikanni (mod. Tell Ajaja),https://pleiades.stoa.org/places/874688,https://www.openstreetmap.org/node/3377375046,,,,,,,,,,40.7205,36.2082,,both
11,159.0,,Q389610,تل_العمارنة,12119893.0,,,, Amarna ,149576487.0,ar:العمارنة,Q5736,,Amarna,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@27.64/30.8959,Al-‘Amārnah,Q389598,https://en.wikipedia.org/wiki/Amarna,,,Human settlement in Egypt,Akhetaten,27.64,30.8959,3.0,Q389610,"""Akhetaten (mod. el-Amarna)""","""""""""266""""""""",Al-‘Amārnah,Arabic,,العمارنة,,,,,,,149576487.0,102555365.0,way,AKH,12119893.0,Q5736,https://ar.wikipedia.org/wiki/تل_العمارنة,,,,https://en.wikipedia.org/wiki/Amarna,,,",""Amarna"",""Amarna"",""Amarna"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@27.64/30.8959,""""""Al-‘Amārnah"""""",Q389598",Q390104,Q509324,Patnos,AKH,266,3,Akhetaten,Al-‘Amārnah,العمارنة,,,,,,,Akhetaten (mod. el-Amarna),https://pleiades.stoa.org/places/149576487,https://www.openstreetmap.org/way/102555365,https://www.geonames.org/12119893,https://en.wikipedia.org/wiki/Amarna,https://ar.wikipedia.org/wiki/تل_العمارنة,,,,,,https://wikidata.org/wiki/Q5736,30.8959,27.6400,,both
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALA,162,3,Alalah,Tall al-‘Aṭshānah,تل العطشانة,,,,,,,Alalakh (mod. Tell Açana) : uncertain (mod. Tell Atshana) Tel Açana,https://pleiades.stoa.org/places/309866128,https://www.openstreetmap.org/way/144312399,https://www.geonames.org/438064,https://en.wikipedia.org/wiki/Alalakh,,,,,,,https://wikidata.org/wiki/Q575249,36.3842,36.2377,,right_only
13,333.0,,Q389659,,745464.0,,Strwiki,Alacahöyük, Alaca Höyük ,991964195.0,,Q558861,,Alaça Höyuk,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@40.2344/34.6951,Alaça Höyuk,Q246325,https://en.wikipedia.org/wiki/Alaca_Höyük,,https://tr.wikipedia.org/wiki/Alacahöyük,Human settlement in Turkey,Unknown,40.2344,34.6951,3.0,Q389659,,,Alaça Höyuk,Turkish,Alaça Höyuk,,,,,,,,991964195.0,171691586.0,way,ALH,745464.0,Q558861,,,,,https://en.wikipedia.org/wiki/Alaca_Höyük,,,",""Alaça Höyuk"",""Alaça Höyuk"",""Alaça Höyuk"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@40.2344/34.6951,""""""Alaça Höyuk"""""",Q246325",Q389900,Q7675924,Tall Ḥamīdī,ALH,0,3,,Alaça Höyuk,,,,,,,,,https://pleiades.stoa.org/places/991964195,https://www.openstreetmap.org/way/171691586,https://www.geonames.org/745464,https://en.wikipedia.org/wiki/Alaca_Höyük,,,,,https://tr.wikipedia.org/wiki/Alacahöyük,,https://wikidata.org/wiki/Q558861,34.6951,40.2344,,both
14,555.0,,Q390138,,,,,,P671,291498921.0,,,,Aliler,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@38.8548/43.4868,Aliler,Q246325,,,,ancient location and modern archeologoical excavation site,Unknown,38.8548,43.4868,2.0,Q390138,,,Aliler,Turkish,,,,,,,,,291498921.0,,,ALI,,,,,,,,,,",""Aliler"",""Aliler"",""Aliler"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@38.8548/43.4868,""""""Aliler"""""",Q246325",,,,ALI,0,2,,Aliler,,,,,,,,,https://pleiades.stoa.org/places/291498921,,,,,,,,,,,43.4868,38.8548,,both
15,134.0,,Q390034,,,,Strwiki,Alişar Höyüğü, Alişar Hüyük ,650309285.0,,Q451078,,Alişar Hüyük,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@39.6059/35.2614,Alişar Hüyük,Q246325,https://en.wikipedia.org/wiki/Alişar_Hüyük,,https://tr.wikipedia.org/wiki/Alişar_Höyüğü,ancient location and modern archeologoical excavation site,Ankuwa,39.6059,35.2614,3.0,Q390034,"""uncertain (mod. Alisar)""","""""""""227""""""""",Alişar Hüyük,Turkish,Alişar Hüyük,,,,,,,,650309285.0,183053062.0,way,ALS,,Q451078,,,,,https://en.wikipedia.org/wiki/Alişar_Hüyük,,,",""Alişar Hüyük"",""Alişar Hüyük"",""Alişar Hüyük"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@39.6059/35.2614,""""""Alişar Hüyük"""""",Q246325",Q389957,Q283680,Karkemish,ALS,227,3,Ankuwa,Alişar Hüyük,,,,,,,,uncertain (mod. Alisar),https://pleiades.stoa.org/places/650309285,https://www.openstreetmap.org/way/183053062,,https://en.wikipedia.org/wiki/Alişar_Hüyük,,,,,https://tr.wikipedia.org/wiki/Alişar_Höyüğü,,,35.2614,39.6059,,both
16,329.0,,Q390062,,,,Strwiki,Altıntepe, Altıntepe ,874316.0,,Q447212,,Altıntepe,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@39.6964/39.6467,Altıntepe,Q246325,https://en.wikipedia.org/wiki/Altıntepe,,https://tr.wikipedia.org/wiki/Altıntepe,ancient location and modern archeologoical excavation site,Unknown,39.6964,39.6467,3.0,Q390062,,,Altıntepe,Turkish,,,,,,,,,874316.0,130188095.0,way,ALT,,Q447212,,,,,https://en.wikipedia.org/wiki/Altıntepe,,,",""Altıntepe"",""Altıntepe"",""Altıntepe"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@39.6964/39.6467,""""""Altıntepe"""""",Q246325",Q390003,Q25404315,Kilizu,ALT,0,3,,Altıntepe,,,,,,,,,https://pleiades.stoa.org/places/874316,https://www.openstreetmap.org/way/130188095,,https://en.wikipedia.org/wiki/Altıntepe,,,,,https://tr.wikipedia.org/wiki/Altıntepe,,,39.6467,39.6964,,both
17,481.0,,Q389999,,,,,,,,ar:عَمَّان‎,,,‘Ammān,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@31.7219/36.0202,‘Ammān,Q389598,,,,ancient location and modern archeologoical excavation site,Unknown,31.7219,36.0202,1.0,Q389999,,,‘Ammān,Arabic,,عَمَّان‎,,,,,,,,,,AMM,,,,,,,,,,",""‘Ammān"",""‘Ammān"",""‘Ammān"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@31.7219/36.0202,""""""‘Ammān"""""",Q389598",,,,AMC,0,1,,‘Ammān,عَمَّان‎,,,,,,,,https://pleiades.stoa.org/places/991530128,,,,,,,,,,,35.9377,31.9539,,both
18,111.0,,Q389917,,,,,,P671,874318.0,ar:تل عامودا,,,Tall ʻĀmūdā,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@37.0972/40.9293,Tall ʻĀmūdā,Q389598,,,,ancient location and modern archeologoical excavation site,Unknown,37.0972,40.9293,3.0,Q389917,"""uncertain (mod. Amuda) ?""","""""""""179""""""""",Tall ʻĀmūdā,Arabic,,تل عامودا,,,,,,,874318.0,,,AMD,,,,,,,,,,",""Tall ʻĀmūdā"",""Tall ʻĀmūdā"",""Tall ʻĀmūdā"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@37.0972/40.9293,""""""Tall ʻĀmūdā"""""",Q389598",,,,AMD,179,3,,Tall ʻĀmūdā,تل عامودا,,,,,,,uncertain (mod. Amuda) ?,https://pleiades.stoa.org/places/874318,,,,,,,,,,,40.9293,37.0972,,both
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMM,0,2,,Maṭār ‘Ammān al-Madanī,مطار عمان المدني,,,,,,,,https://pleiades.stoa.org/places/859811421,,,,,,,,,,,35.9813,31.9713,,right_only
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANS,286,3,Anšan,Tal-i Malyān,,,تل ملیان,,,,,Anšan (mod. Tell Malyan),https://pleiades.stoa.org/places/922729,https://www.openstreetmap.org/node/3323694495,https://www.geonames.org/125047,https://en.wikipedia.org/wiki/Malyan%2C_Fars,,https://fa.wikipedia.org/wiki/ملیان_(بیضا),,,,,,52.4123,30.0119,,right_only
21,183.0,,Q389844,,,,,,,,ar:تل أبو عنتيك,,,Tall Abū ‘Antīk,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@32.1311/44.6393,Tall Abū ‘Antīk,Q389598,,,,ancient location and modern archeologoical excavation site,Pi-Kasî,32.1311,44.6393,3.0,Q389844,"""Tall Abū ‘Antīk""","""""""""298""""""""",Tall Abū ‘Antīk,Arabic,,تل أبو عنتيك,,,,,,,,,,ANT,,,,,,,,,,",""Tall Abū ‘Antīk"",""Tall Abū ‘Antīk"",""Tall Abū ‘Antīk"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@32.1311/44.6393,""""""Tall Abū ‘Antīk"""""",Q389598",,,,ANT,298,3,Pī-Kasî,Tall Abū ‘Antīk,تل أبو عنتيك,,,,,,,,https://pleiades.stoa.org/places/552857304,,,,,,,,,,,44.6393,32.1311,,both
22,553.0,,Q390136,,316914.0,,,,,,,,,Dereüstü,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@38.5563/43.47,Dereüstü,Q246325,,,,ancient location and modern archeologoical excavation site,Unknown,38.5563,43.47,2.0,Q390136,,,Dereüstü,Turkish,,,,,,,,,,1860375427.0,node,ANZ,316914.0,,,,,,,,,",""Dereüstü"",""Dereüstü"",""Dereüstü"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@38.5563/43.47,""""""Dereüstü"""""",Q246325",,,,ANZ,0,2,,Dereüstü,,,,,,,,,https://pleiades.stoa.org/places/192395067,https://www.openstreetmap.org/node/1860375427,https://www.geonames.org/316914,,,,,,,,https://wikidata.org/wiki/Q1914639,43.4700,38.5563,,both
23,5.0,,Q389638,,295746.0,,,, Antipatris ,687996.0,,Q682612,,Antipatris,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@32.1053/34.9311,Tel Afek,Q389600,https://en.wikipedia.org/wiki/Antipatris,,,Human settlement in Israel,Antipatris,32.1053,34.9311,3.0,Q389638,"""Antipatris (mod. Tel Aphek)""","""""""""10""""""""",Tel Afek,Hebrew,,,,,,,תל אפק,,687996.0,558583215.0,node,APH,295746.0,Q682612,,,,https://he.wikipedia.org/wiki/תל_אפק_(אנטיפטריס),https://en.wikipedia.org/wiki/Antipatris,,,",""Antipatris"",""Antipatris"",""Antipatris"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@32.1053/34.9311,""""""Tel Afek"""""",Q389600",Q390054,Q6087910,Habibuşağı,APH,10,3,Antipatris,Tel Afek,,,,,,תל אפק,,Antipatris (mod. Tel Aphek),https://pleiades.stoa.org/places/687996,https://www.openstreetmap.org/node/558583215,https://www.geonames.org/295746,https://en.wikipedia.org/wiki/Antipatris,,,,https://he.wikipedia.org/wiki/תל_אפק_(אנטיפטריס),,,https://wikidata.org/wiki/Q682612,34.9311,32.1053,,both
24,8.0,,Q389923,زقورة_عقرقوف,6647830.0,,,, Dur-Kurigalzu ,893988.0,ar:تل عقرقوف,Q622719,,Dur-Kurigalzu,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@33.3599/44.1888,Tall ‘Aqarqūf,Q389598,https://en.wikipedia.org/wiki/Dur-Kurigalzu,,,ancient location and modern archeologoical excavation site,Dur-Kurigalzu,33.3599,44.1888,3.0,Q389923,"""Dur-Kurigalzu (mod. Aqar Quf)""","""""""""13""""""""",Tall ‘Aqarqūf,Arabic,,تل عقرقوف,,,,,,,893988.0,2486175272.0,node,AQA,6647830.0,Q622719,https://ar.wikipedia.org/wiki/زقورة_عقرقوف,,,,https://en.wikipedia.org/wiki/Dur-Kurigalzu,,,",""Dur-Kurigalzu"",""Dur-Kurigalzu"",""Dur-Kurigalzu"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@33.3599/44.1888,""""""Tall ‘Aqarqūf"""""",Q389598",Q390113,Q281932,Arzashkun,AQA,13,3,Dur-Kurigalzu,Tall ‘Aqarqūf,تل عقرقوف,,,,,,,Dur-Kurigalzu (mod. Aqar Quf),https://pleiades.stoa.org/places/893988,https://www.openstreetmap.org/node/2486175272,https://www.geonames.org/6647830,https://en.wikipedia.org/wiki/Dur-Kurigalzu,https://ar.wikipedia.org/wiki/زقورة_عقرقوف,,,,,,https://wikidata.org/wiki/Q622719,44.1888,33.3599,,both
25,520.0,,Q390091,,323694.0,,,,,,,,,Aras,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@39.9893/42.3081,Aras,Q246325,,,,ancient location and modern archeologoical excavation site,Unknown,39.9893,42.3081,1.0,Q390091,,,Aras,Turkish,,,,,,,,,,2446149644.0,node,ARA,323694.0,,,,,,,,,",""Aras"",""Aras"",""Aras"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@39.9893/42.3081,""""""Aras"""""",Q246325",,,,ARA,0,1,,Aras,,,,,,,,,https://pleiades.stoa.org/places/441249848,https://www.openstreetmap.org/node/2446149644,https://www.geonames.org/323694,,,,,,,,https://wikidata.org/wiki/Q111193910,42.3081,39.9893,,both
26,288.0,,Q389747,,11336806.0,,,, Erebuni Fortress ,863785.0,,Q733610,,Erebuni,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@40.1405/44.538,Arin Berd,Q389602,https://en.wikipedia.org/wiki/Erebuni_Fortress,,,ancient location and modern archeologoical excavation site,Erebuni,40.1405,44.538,3.0,Q389747,,,Arin Berd,Armenian,,,Արին բերդ,,,,,,863785.0,445380061.0,way,ARI,11336806.0,Q733610,,,,,https://en.wikipedia.org/wiki/Erebuni_Fortress,,,",""Erebuni"",""Erebuni"",""Erebuni"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@40.1405/44.538,""""""Arin Berd"""""",Q389602",Q390092,Q1143135,Cudi Dağı,ARI,0,3,Erebuni,Arin Berd,,Արին բերդ,,,,,,,https://pleiades.stoa.org/places/863785,https://www.openstreetmap.org/way/445380061,https://www.geonames.org/11336806,https://en.wikipedia.org/wiki/Erebuni_Fortress,,,,,,,https://wikidata.org/wiki/Q733610,44.5382,40.1404,,both
27,283.0,,Q390113,,,,,,,,,Q281932,,Arzashkun,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@38.8107/43.0669,Arinçkus,Q246325,,,,ancient location and modern archeologoical excavation site,Arzaškun,38.8107,43.0669,1.0,Q390113,,,Arinçkus,Turkish,Arinçkus,,,,,,,,,2291639337.0,node,ARK,,Q281932,,,,,,,,",""Arzashkun"",""Arzashkun"",""Arzashkun"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@38.8107/43.0669,""""""Arinçkus"""""",Q246325",Q389673,Q1132798,Zippori,ARK,0,1,Arzaškun,Arinçkus,,,,,,,,,https://pleiades.stoa.org/places/658093017,https://www.openstreetmap.org/node/2291639337,,,,,,,https://tr.wikipedia.org/wiki/Arinçkus_Argişti_Steli,,,43.0669,38.8107,,both
28,281.0,,Q389748,,,,,, Armavir (ancient city) ,,,Q675636,,Armavir,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@40.082/44.0332,Armavir,Q389602,https://en.wikipedia.org/wiki/Armavir_(ancient_city),,,ancient location and modern archeologoical excavation site,Argištihinili,40.082,44.0332,1.0,Q389748,,,Armavir,Armenian,,,Արմավիր,,,,,,,183430453.0,way,ARM,,Q675636,,,,,https://en.wikipedia.org/wiki/Armavir_(ancient_city),,,",""Armavir"",""Armavir"",""Armavir"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@40.082/44.0332,""""""Armavir"""""",Q389602",Q390073,Q4819172,Ziyaret Tepe,ARM,0,3,Argištihinili,Armavir,,Արմավիր,,,,,,,https://pleiades.stoa.org/places/863745,https://www.openstreetmap.org/way/183430453,,https://en.wikipedia.org/wiki/Armavir_(ancient_city),,,,,,,https://wikidata.org/wiki/Q13052201,44.0334,40.0819,,both
29,104.0,,Q390010,عرفة_(العراق),,,,, Arrapha ,893941.0,ar:كركوك,Q193268,,Arrapha,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@35.4701/44.3957,Kirkūk,Q389598,https://en.wikipedia.org/wiki/Arrapha,,,ancient location and modern archeologoical excavation site,Arrapha,35.4701,44.3957,3.0,Q390010,"""Arrapha (mod. Kirkuk)""","""""""""165""""""""",Kirkūk,Arabic,,كركوك,,,,,,,893941.0,602684164.0,way,ARR,,Q193268,https://ar.wikipedia.org/wiki/عرفة_(العراق),,,,https://en.wikipedia.org/wiki/Arrapha,,,",""Arrapha"",""Arrapha"",""Arrapha"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@35.4701/44.3957,""""""Kirkūk"""""",Q389598",,,,ARR,165,3,Arrapha,Kirkūk,كركوك,,,,,,,Arrapha (mod. Kirkuk),https://pleiades.stoa.org/places/893941,https://www.openstreetmap.org/way/602684164,,https://en.wikipedia.org/wiki/Arrapha,https://ar.wikipedia.org/wiki/عرفة_(العراق),,,,,,https://wikidata.org/wiki/Q672905,44.3957,35.4701,,both
